Issue Type,Summary,Description,Status,Priority,Story Points,Components,Labels,Epic Name,Epic Link,Assignee,Sprint
Story,S1-15 BE — subscription schema,"**Context**
M10 (subscription & payments) needs four new Prisma models + three new User columns. This is purely schema work — the lifecycle logic (S1-16) and Razorpay integration (S1-17) build on top.

Seed data drives the 30-min Option A/C swap if Shaik picks differently on 2026-05-18 (R16). All plan names + prices live in SubscriptionPlan rows, not hardcoded constants.

**Scope**
- Prisma models:
  - Subscription (id, userId, planId, tier enum FREE/TRIAL/PRO/EXPIRED, startedAt, expiresAt, autoRenew, lastPaymentAt)
  - SubscriptionPlan (id, name, code, priceInr, billingPeriod, features)
  - PaymentHistory (id, userId, subscriptionId, providerEventId, amountInr, gstInr, status enum, paidAt)
  - WebhookEvent (id, provider, eventId UNIQUE, payload JSON, processedAt) — for idempotency
- User table additions: subscriptionTier (FREE | TRIAL | PRO | EXPIRED), subscriptionExpiresAt, lastPaymentAt
- Seed file with Option B values: Worker FREE (workers free permanently), Employer Pro ₹999/mo, 14-day TRIAL
- Migration: backfill subscriptionTier=FREE on existing rows; existing employers get a fresh 14-day trial

**Acceptance Criteria** (RTM: M10-AC10, M10-AC11, M10-AC12)
- [ ] Schema migrates cleanly forward + backward
- [ ] Seed populates SubscriptionPlan with Option B values
- [ ] Worker rows have subscriptionTier=FREE permanently
- [ ] Existing employer rows get TRIAL with expiresAt=now()+14d on first migration apply
- [ ] WebhookEvent.eventId has UNIQUE constraint (idempotency precondition)

**Dependencies**
- S1-01 (schema migration ordering; Aadhaar dropped first)
- Unblocks: S1-16 (trial lifecycle), S1-17 (Razorpay checkout/webhook)

**Definition of Done**
- Standard DoD applies
- Migration tested forward + rollback
- Seed reversible to Option A or C in <30 minutes (verified by editing the seed file + re-running)

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m10-subscription--payments
- Pricing memo: docs/managerial/03-pricing-decision-memo.md

**Risk:** M — schema-heavy; seed-data reversibility is the key architectural property",To Do,Highest,2,M10,"sprint-1,owner-asrar,role-be,risk-medium",,M10 Subscription & Payments,syed.asrar9@azkashine.com,36
Story,S1-16 BE — trial lifecycle,"**Context**
On employer registration, create a TRIAL Subscription row. After 14 days, expiry cron flips tier=EXPIRED and auto-deactivates ACTIVE jobs. Trial-feature gate middleware lets us gate paid-only features cleanly.

Manual-renewal cron + day-3/day-7 trial nurture crons are deferred to S2.

**Scope**
- On POST /api/employers/register (Individual + Corporate): after email-verify, create Subscription { tier=TRIAL, startedAt=now(), expiresAt=now()+14d, autoRenew=false }
- Trial-feature gate middleware: rejects requests to paid-only endpoints from TRIAL/EXPIRED tiers (or allows TRIAL with full access per Option B)
- Expiry cron: runs daily, finds Subscription rows where expiresAt < now() AND tier != EXPIRED, flips tier=EXPIRED
- Cascade: on flip to EXPIRED, find employer's ACTIVE jobs and set status=INACTIVE (NOT deleted; preserved for resurrection on renewal)
- WhatsApp/SMS/email notification on trial expiry (gated by M9 channels — wire stub if not yet ready, send actual at M9 ship)

**Acceptance Criteria** (RTM: M10-AC1, M10-AC2, M10-AC3, M10-AC6)
- [ ] New employer register creates TRIAL row with correct expiresAt
- [ ] Trial allows unlimited posts, candidate mgmt, messaging during trial window
- [ ] On day 15, cron flips tier=EXPIRED + jobs auto-deactivate to INACTIVE
- [ ] Existing applications, chats, interviews preserved
- [ ] Employer can browse but cannot create new jobs in EXPIRED state
- [ ] Existing test seed (with old test employers) handles the migration

**Dependencies**
- S1-15 (schema)
- M9 channels (SMS/WhatsApp/email) — stub if not ready

**Definition of Done**
- Standard DoD applies
- Cron tested with time-travel (set expiresAt to past, trigger cron, verify cascade)
- Auto-deactivate is destructive — test thoroughly + log every flip

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m10-subscription--payments

**Risk:** M — cron + auto-deactivate is destructive; test coverage critical",To Do,Highest,2,M10,"sprint-1,owner-asrar,role-be,risk-medium",,M10 Subscription & Payments,syed.asrar9@azkashine.com,36
Story,S1-17 BE — Razorpay sandbox checkout + webhook,"**Context**
Webhook handler is security-critical. HMAC sig verification + idempotency on provider_event_id must be correct from day 1 — replay attacks would double-credit subscriptions.

**Plan B fallback:** if Asrar slips on S1-12 / S1-15 / S1-16, this story defers to early S2. Confirmed at S1 close.

**Scope**
- New env vars: RAZORPAY_KEY_ID, RAZORPAY_KEY_SECRET, RAZORPAY_WEBHOOK_SECRET
- POST /api/subscriptions/checkout (authenticated): create Razorpay Order via Razorpay Node SDK, return checkout payload to FE
- POST /api/webhooks/razorpay (public, signature-verified):
  - Verify X-Razorpay-Signature header via HMAC-SHA256(payload, RAZORPAY_WEBHOOK_SECRET)
  - Reject 401 on mismatch (log + alert)
  - Dedupe on body.event_id: if WebhookEvent row exists with that event_id, return 200 no-op
  - On payment.captured: flip Subscription tier=PRO, expiresAt=now()+30d, write PaymentHistory with provider IDs + GST line item
  - Insert WebhookEvent row with processedAt
- GET /api/me/subscription: current user's tier + days remaining + plan details
- GET /api/me/payments: payment history list

**Acceptance Criteria** (RTM: M10-AC4, M10-AC8, M10-AC13)
- [ ] Sandbox order created end-to-end (test with Razorpay sandbox checkout)
- [ ] Webhook signature verified correctly (test with valid + invalid signatures)
- [ ] Idempotency: replay same webhook 5x, only one PaymentHistory row created
- [ ] On successful payment.captured: tier=PRO, expiresAt=now()+30d, PaymentHistory row present
- [ ] GST line item persisted (Razorpay invoicing API provides this)
- [ ] /api/me/subscription returns correct state

**Dependencies**
- S1-15 (schema)
- S1-03 (sandbox keys procured)

**Definition of Done**
- Standard DoD applies
- HMAC verification tested with hostile inputs
- Webhook idempotency verified with replay
- Sandbox order → webhook → tier flip demo recorded for Sprint 1 close

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m10-subscription--payments

**Risk:** H — webhook security-critical; HMAC + idempotency must be correct first time",To Do,Highest,2,M10,"sprint-1,owner-asrar,role-be,risk-high",,M10 Subscription & Payments,syed.asrar9@azkashine.com,36
Story,S1-FE-PORT FE — switch base URL 8080 → 5000,"**Context**
FE currently hardcodes localhost:8080. BE actually runs on localhost:5000. This is R1 — the top integration risk. Land before anything else FE touches.

**Scope**
- Replace hardcoded base URL in apps/web/src/lib/api.ts with NEXT_PUBLIC_API_URL env var
- Default to http://localhost:5000 if env var unset
- Commit .env.example with the var documented
- Update apps/web/README with dev setup instructions

**Acceptance Criteria** (RTM: M15-AC1)
- [ ] grep -r ""localhost:8080"" apps/web/ returns no results
- [ ] .env.example committed with NEXT_PUBLIC_API_URL
- [ ] App boots + calls BE on 5000 in dev
- [ ] CI passes (build + lint + typecheck)

**Dependencies**
- None (can land before BE auth rework)
- Blocks: S1-FE-PATHS, S1-FE-AUTH

**Definition of Done**
- Standard DoD applies — env-only change, no new tests required
- Smoke test: register flow attempts a real API call to /api/jobseekers/register (will fail gracefully if BE not on phone-first yet, but URL routing is correct)

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m15-cross-cutting (M15-AC1)

**Risk:** M — R1 cleanup",To Do,High,1,M15,"sprint-1,owner-nazir,role-fe,risk-medium",,M15 Cross-Cutting,nazir.hasan@azkashine.com,36
Story,S1-FE-PATHS FE — rename FE API paths,"**Context**
FE uses old path names (/job-seeker/*, /employer/*). BE uses /api/jobseekers/*, /api/employers/*, etc. Coordinate the final path list with Asrar before starting.

**Scope**
- Rewrite all API paths in apps/web/src/lib/api.ts:
  - /job-seeker/* → /api/jobseekers/*
  - /employer/* → /api/employers/*
  - /admin/* → /api/admin/*
  - /otp/* → /api/otp/*
  - /jobs/* → /api/jobs/* (verify)
  - /applications/* → /api/applications/*
  - /conversations/* → /api/conversations/*
  - /notifications/* → /api/notifications/*
- Coordinate with Asrar on any edge cases (auth.routes vs jobseekers.routes splits, etc.)
- Update every call site that imports from api.ts (most pages do)

**Acceptance Criteria** (RTM: M15-AC2)
- [ ] All paths in apps/web/src/lib/api.ts match BE actual routes
- [ ] grep -rn ""/job-seeker/"" apps/web/ returns no results
- [ ] grep -rn ""/employer/[^j]"" apps/web/ returns no results
- [ ] At least 3 pages confirmed working end-to-end (register, login, job feed)
- [ ] BE API_DOCUMENTATION.md cross-checked

**Dependencies**
- S1-FE-PORT (must land first)
- S1-12 (BE phone-first auth — coordinate so FE paths match BE final shape)

**Definition of Done**
- Standard DoD applies
- Peer-reviewed by Asrar on path list
- Smoke test on staging once auth is reworked

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m15-cross-cutting (M15-AC2)
- Decision: D6 (FE conforms to BE for paths/port)

**Risk:** M — R1; touches every page that calls API",To Do,Highest,2,M15,"sprint-1,owner-nazir,role-fe,risk-medium",,M15 Cross-Cutting,nazir.hasan@azkashine.com,36
Story,S1-FE-AUTH FE — Bearer token interceptor + AuthContext,"**Context**
FE auth today is localStorage hackery — no real Bearer-token wiring, no AuthContext. Audit §2.4 flagged this. Net-new auth wiring required.

**Scope**
- Create AuthContext (React Context) wrapping the app
  - Stores JWT + user object in localStorage + memory
  - login(jwt, user) action
  - logout() action — clears state + redirects
  - Refresh on 401 (call /api/auth/refresh — coordinate with Asrar if endpoint exists; otherwise force re-login)
- Wire Bearer token interceptor on api.ts axios/fetch:
  - Authorization: Bearer <token> on all authenticated calls
  - 401 → trigger logout + redirect to /login
- Move localStorage access behind AuthContext (no direct localStorage reads scattered across components)

**Acceptance Criteria** (RTM: M15-AC3)
- [ ] AuthContext exists + wraps the app root
- [ ] Bearer token attached on every authenticated API call
- [ ] 401 triggers redirect to /login and clears state
- [ ] No direct localStorage.getItem('token') calls outside AuthContext
- [ ] Login form integrates with AuthContext

**Dependencies**
- S1-FE-PATHS (path naming finalised first)
- S1-12 (BE returns JWT in new shape)
- Blocks: S1-FE-GUARDS

**Definition of Done**
- Standard DoD applies
- Login → authenticated GET works end-to-end on staging
- Logout clears state + redirects

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m15-cross-cutting (M15-AC3)
- Audit §2.4

**Risk:** M — net-new auth wiring; depends on BE shape",To Do,Highest,2,M15,"sprint-1,owner-nazir,role-fe,risk-medium",,M15 Cross-Cutting,nazir.hasan@azkashine.com,36
Story,S1-FE-GUARDS FE — protected route guards + 401 redirect,"**Context**
Once AuthContext is in place (S1-FE-AUTH), add route-level guards that block unauthenticated access to protected routes and gate role-based routes (seeker vs employer vs admin).

**Scope**
- ProtectedRoute wrapper component:
  - Reads AuthContext
  - If no user → redirect to /login
  - If role mismatch (e.g. seeker accessing /employer/*) → redirect to role-correct home
- Apply ProtectedRoute to:
  - All /profile, /my-applications, /job-feed routes (seeker-only)
  - All /employer/* routes (employer-only)
  - All /admin/* routes (admin-only; lift to apps/admin per S1-06)
- 401 from API → AuthContext logout + redirect to /login (already in S1-FE-AUTH; verify integration here)

**Acceptance Criteria** (RTM: M15-AC3)
- [ ] Unauthenticated visitor to /profile redirects to /login
- [ ] Seeker accessing /employer/dashboard redirects to seeker home
- [ ] Employer accessing /admin/* redirects to employer home
- [ ] 401 response triggers redirect to /login (verified end-to-end)
- [ ] Admin routes (in apps/admin after S1-06 lift) have admin-only guard

**Dependencies**
- S1-FE-AUTH (must land first)
- S1-06 (admin workspace lift)

**Definition of Done**
- Standard DoD applies
- Manual test: 3 role scenarios (seeker / employer / admin) confirm guards correctly

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m15-cross-cutting (M15-AC3)

**Risk:** L — standard pattern",To Do,High,1,M15,"sprint-1,owner-nazir,role-fe,risk-low",,M15 Cross-Cutting,nazir.hasan@azkashine.com,36
Story,S1-FE-REG FE — rework registration screens,"**Context**
FE registration screens currently target the old (email-first, Aadhaar-required) flow. Need full rework to match BE phone-first multi-step flow per Q3 revised + employer doc-upload split per 2026-05-13.

**Scope**
- Rework seeker registration (apps/web/src/app/register/*):
  - Step 1: Language picker → Step 2: Phone Number → Step 3: 6-digit OTP → Step 4: Profile (name + email + DOB + gender) → Step 5: Categories → Step 6: Experience → Step 7: Password
  - Submit single multipart POST at end (per 2026-05-13 design)
  - Remove all Aadhaar fields
  - Fix OTP widget: 4-digit → 6-digit
- Rework employer registration (apps/web/src/app/employer/register/*):
  - Step 1: Phone Number → Step 2: 6-digit OTP → Step 3: Password → Step 4: Email Verify → Step 5: Company Details
  - Doc upload (Corporate only) happens post-register as separate flow
  - Individual auto-redirects to dashboard after email-verify
  - Corporate sees ""Your account is under review"" + doc-upload prompt
- Remove plaintext-password-in-localStorage smell (audit §2.4)

**Acceptance Criteria** (RTM: M1-AC1, M1-AC2, M1-AC3)
- [ ] Seeker registration completes <3 min end-to-end on staging
- [ ] Employer registration: Individual auto-approves; Corporate queues PENDING
- [ ] No Aadhaar UI anywhere
- [ ] OTP input is 6 digits
- [ ] No plaintext password persisted to localStorage at any step

**Dependencies**
- S1-12 (BE phone-first auth shape)
- S1-FE-AUTH (AuthContext wiring)
- Design: lift from Job_Portal.pdf

**Definition of Done**
- Standard DoD applies
- Both seeker + employer (Individual + Corporate) tested end-to-end
- Mobile-responsive (matches mobile design)

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m1-authentication--identity
- Design: documents/Job_Portal.pdf (registration sections)

**Risk:** M — full screen rework",To Do,Highest,2,M1,"sprint-1,owner-nazir,role-fe,risk-medium",,M1 Authentication & Identity,nazir.hasan@azkashine.com,36
Story,S1-FE-LOGIN FE — login for all 3 methods,"**Context**
Login screens need to support all 3 methods (phone+OTP, email+password, Google OAuth) for both seeker AND employer. Admin login is email+password only.

**Scope**
- Build/rework /login (seeker + employer shared screen with role toggle):
  - Tab 1: Phone + OTP (phone input → Send OTP → 6-digit code → Login)
  - Tab 2: Email + Password
  - Tab 3: Sign in with Google (using @react-oauth/google)
- Build /admin/login (in apps/admin after S1-06):
  - Email + Password only
  - Replace hardcoded creds path
- Wire submit to BE endpoints per S1-13 shape
- Persist JWT via AuthContext + redirect to role home

**Acceptance Criteria** (RTM: M1-AC5, M1-AC6)
- [ ] All 3 methods work end-to-end for both seeker + employer
- [ ] Admin login works email+password only (no phone tab visible)
- [ ] No hardcoded admin credentials anywhere
- [ ] Failed login shows clear error message
- [ ] Successful login redirects to role-correct home

**Dependencies**
- S1-13 (BE Google OAuth + email login)
- S1-04 (Google OAuth client ID for web)
- S1-FE-AUTH (AuthContext)

**Definition of Done**
- Standard DoD applies
- All 3 methods tested with real credentials on staging
- Admin login goes to admin home; seeker login goes to /job-feed

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m1-authentication--identity

**Risk:** L",To Do,High,1,M1,"sprint-1,owner-nazir,role-fe,risk-low",,M1 Authentication & Identity,nazir.hasan@azkashine.com,36
Story,S1-MOB-AUTH Mobile — phone-first registration,"**Context**
Mobile registration must match the same phone-first flow as web for BOTH seeker AND employer per D3. Mobile design is in Job_Portal_Mobile.pdf — 5-step flow per role.

**ASSIGNEE NOTE: Mobile dev TBD.** Hold ticket open until new mobile dev onboards.

**Scope**
- RN screens for seeker registration (mirroring web flow):
  - Language picker → Phone → OTP (6-digit) → Profile → Categories → Experience → Password
- RN screens for employer registration:
  - Phone → OTP → Password → Email Verify → Company Details
- 6-digit OTP widget (custom or from a library)
- Wire to BE phone-first endpoints (same as web)
- Reuse RN screen components for both roles where possible

**Acceptance Criteria** (RTM: M1-AC1, M1-AC2, M1-AC3)
- [ ] Both seeker + employer registration work end-to-end on iOS + Android sim
- [ ] 6-digit OTP renders correctly
- [ ] Multi-step nav flows without state loss between steps
- [ ] OTP-in-response handled correctly in dev mode

**Dependencies**
- S1-05 (apps/mobile workspace)
- S1-12 (BE phone-first auth)
- Design: documents/Job_Portal_Mobile.pdf

**Definition of Done**
- Standard DoD applies
- Tested on iOS sim + Android emulator
- Mobile-responsive (handles small screens)

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m1-authentication--identity
- Mobile design: documents/Job_Portal_Mobile.pdf

**Risk:** M — large new build but follows web pattern (resourcing risk H due to no current owner)",To Do,Highest,5,M1,"sprint-1,owner-mobile-tbd,role-mobile,risk-high",,M1 Authentication & Identity,,36
Story,S1-MOB-LOGIN Mobile — login for all 3 methods,"**Context**
Mobile login mirrors web login (3 methods) for both seeker + employer.

**ASSIGNEE NOTE: Mobile dev TBD.**

**Scope**
- RN screens for login (phone+OTP, email+password, Google OAuth)
- Google Sign-In via @react-native-google-signin/google-signin
- Store JWT in MMKV (faster than AsyncStorage for read-heavy access)
- Shared login screen for seeker + employer with role detection from BE response

**Acceptance Criteria** (RTM: M1-AC5)
- [ ] All 3 methods work end-to-end on iOS + Android
- [ ] Google Sign-In configured with iOS + Android Client IDs (from S1-04)
- [ ] JWT stored in MMKV, attached to subsequent API calls

**Dependencies**
- S1-05 (mobile workspace)
- S1-13 (BE Google OAuth + email login)
- S1-04 (Google OAuth client IDs — mobile)

**Definition of Done**
- Standard DoD applies
- Tested on iOS sim + Android emulator
- Google Sign-In tested with a real Google account

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m1-authentication--identity

**Risk:** M (resourcing H)",To Do,Highest,2,M1,"sprint-1,owner-mobile-tbd,role-mobile,risk-high",,M1 Authentication & Identity,,36
Story,S1-MOB-SHELL Mobile — bottom nav shells,"**Context**
Mobile app has different bottom navs for seeker vs employer. Per Job_Portal_Mobile.pdf:
- Seeker: 4 tabs (Home / Job Feed / My List / Profile)
- Employer: 5 tabs (Home / Job Post / Candidates / Messages / Profile)

Role is detected from JWT payload after login; shell selection happens at that point.

**ASSIGNEE NOTE: Mobile dev TBD.**

**Scope**
- BottomTabNavigator for seeker (4 tabs)
- BottomTabNavigator for employer (5 tabs)
- Role-based shell selection after login (post-S1-MOB-LOGIN)
- Empty screens for each tab (placeholders — actual screens come in S2)
- Tab icons (lucide-react-native or @expo/vector-icons)

**Acceptance Criteria**
- [ ] Seeker login → seeker shell with 4 tabs
- [ ] Employer login → employer shell with 5 tabs
- [ ] Each tab renders a placeholder screen
- [ ] Admin role redirects to web (admin is web-only per D3)

**Dependencies**
- S1-05 (mobile workspace)
- S1-MOB-LOGIN (role detection after login)

**Definition of Done**
- Standard DoD applies
- Tested on iOS sim + Android emulator

**Reference**
- Mobile design: documents/Job_Portal_Mobile.pdf

**Risk:** L (technical) / H (resourcing)",To Do,High,1,M15,"sprint-1,owner-mobile-tbd,role-mobile,risk-high",,M15 Cross-Cutting,,36
Story,S1-18 Draft 8-12 WhatsApp templates for Meta submission,"**Context**
Meta Business verification has a 1–2 week lead time before any template gets approved (R14). Templates need to be drafted by engineering and submitted by Shaik via the Meta Business Manager.

Asrar drafts the engineering side; Shaik submits.

**Scope**
- Draft templates with placeholders ({{1}}, {{2}}, etc.):
  - otp: ""Your Azkashine OTP is {{1}}. Valid 10 min.""
  - application_accepted: ""{{1}}, your application for {{2}} has been accepted. Interview details: {{3}}""
  - application_rejected: ""{{1}}, we regret your application for {{2}} was not selected. Browse more jobs in the app.""
  - application_shortlisted, interview_scheduled, interview_reminder_24h, interview_reminder_2h, payment_confirmation, document_approved, document_rejected, employer_message_to_seeker, password_reset
- Hindi versions for each (per M9 OQ — confirm with Nazir whether to include in v1)
- Categorise per Meta type: AUTHENTICATION (OTP) / UTILITY (transactional) / MARKETING (none in v1)
- Hand drafted texts to Shaik via the team channel + Decisions doc

**Acceptance Criteria** (RTM: M9-AC3)
- [ ] 8–12 templates drafted with placeholder variables
- [ ] Each template categorised correctly per Meta types
- [ ] Drafts in docs/technical/whatsapp-templates.md or equivalent
- [ ] Shaik confirms receipt

**Dependencies**
- None for drafting; submission by Shaik gates real WhatsApp delivery (R14)

**Definition of Done**
- Standard DoD applies — drafts only, no code
- Drafts checked into the repo for audit trail

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m9-notifications
- BE sync §6

**Risk:** M — drafting is low-risk; Meta approval timeline is the actual risk (R14)",To Do,High,1,M9,"sprint-1,owner-asrar,role-be,risk-medium",,M9 Notifications,syed.asrar9@azkashine.com,36
Story,S1-19 Infra — stand up staging + CI,"**Context**
No staging environment exists yet (R9). S2 smoke tests + every ""Done"" item per DoD §2.5 require a staging URL. CI on every PR is the DoD §2.4 gate.

Target: staging up by Fri 2026-05-22 (Sprint 1 mid).

**Scope**
- Provision staging environment (AWS / chosen cloud per Nayan's pick):
  - BE on ECS / Fargate / EC2 with PostgreSQL RDS
  - FE web deployed to Vercel / Cloudflare / equivalent
  - Mobile build pipeline (Expo EAS or equivalent)
- Domain + HTTPS (e.g., staging.azkashine.com)
- Environment vars set: JWT_SECRET, RAZORPAY_KEY_ID, RAZORPAY_KEY_SECRET, RAZORPAY_WEBHOOK_SECRET, GOOGLE_OAUTH_CLIENT_ID, MSG91_AUTH_KEY, OPENAI_API_KEY (when procured), FCM creds
- CI on every PR via GitHub Actions:
  - BE: lint + typecheck + smoke test (Prisma migrate + start + curl /health)
  - FE web: lint + typecheck + build
  - Mobile: lint + typecheck + build (Expo build)
- Logs aggregated somewhere accessible (CloudWatch, Datadog, or simple)

**Acceptance Criteria** (RTM: M15-AC8, M15-AC9)
- [ ] Staging URLs accessible to team
- [ ] BE on staging responds to /health
- [ ] FE web on staging loads + can hit BE
- [ ] Mobile build artifact available (TestFlight + APK)
- [ ] CI gates every PR before merge
- [ ] Secrets stored in CI secrets manager (not committed)

**Dependencies**
- Nayan's onboarding to project (resourcing — Nayan's Jira account pending)
- Procurement: MSG91 keys (S1-02), Razorpay keys (S1-03), Google OAuth (S1-04)

**Definition of Done**
- Standard DoD applies
- Staging walkthrough demo at Sprint 1 mid review
- Backup + rollback procedures documented

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m15-cross-cutting (M15-AC8, AC9)
- Charter §8.1

**Risk:** M — R9 dependency; on critical path for S2",To Do,High,2,M15,"sprint-1,owner-nayan,role-infra,risk-medium",,M15 Cross-Cutting,nayankumar@azkashine.com,36
Story,S2-BE-APPLY-AUDIO BE — apply with 2-min audio + storage abstraction,"**Context**
Today POST /api/applications rejects audio — multer not wired (R13). Audio is core to M5 (workers pitch in their own voice). 2-min cap per Q10 revised. Store on local disk via a presigned-URL abstraction (Q10) so S3 storage swap is clean in v2.

**Scope**
- Add multer middleware to POST /api/applications: accept multipart with `audio` file
- MIME whitelist: audio/webm, audio/mp4, audio/m4a, audio/ogg, audio/opus
- Duration check: reject if >2 min (server-side validation via ffprobe or container metadata)
- Storage abstraction: services/storage.ts with `saveApplicationAudio(applicationId, fileBuffer, mime)` returning a URL
  - Local-disk implementation under uploads/applications/{applicationId}.{ext}
  - Interface designed for S3 swap in v2
- Persist `audioUrl` + `audioDuration` + `audioMime` columns on JobApplication
- Hard cap on file size: 1 MB (refuses pathological inputs even if duration check is bypassed)

**Acceptance Criteria** (RTM: M5-AC1, M5-AC2)
- [ ] POST /api/applications accepts multipart with audio + optional text message
- [ ] Audio >2 min rejected with clear error
- [ ] Audio >1 MB rejected with clear error
- [ ] Bad MIME rejected
- [ ] On success: file saved to disk + applicationId/duration/mime persisted on row
- [ ] Audio playback URL returned in application detail

**Dependencies**
- None (independent of M9 channels)
- Required by: S2-FE-APPLY-MODAL, S2-MOB-APPLY

**Definition of Done**
- Standard DoD applies
- ffprobe or equivalent integrated for server-side duration check
- Negative tests for size/duration/MIME boundaries

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m5-job-application
- Audit §1.8 #10

**Risk:** H — net-new audio upload pipeline (R13)",To Do,Highest,3,M5,"sprint-2,owner-asrar,role-be,risk-high",,M5 Job Application,syed.asrar9@azkashine.com,37
Story,S2-BE-CHAT-AUDIO BE — 60s audio in chat,"**Context**
services/conversation.service.ts:298 currently throws on AUDIO type messages. M8 requires 60s audio chat (Q10). Reuse the storage abstraction from S2-BE-APPLY-AUDIO.

**Scope**
- Modify POST /api/conversations/:id/messages to accept type=AUDIO with multipart audio file
- MIME whitelist same as M5; duration cap 60s (NOT 2-min)
- Storage: saveChatAudio(messageId, fileBuffer, mime) — separate folder uploads/chat/{messageId}.{ext}
- Persist audioUrl + audioDuration + audioMime on Message row
- Verify validator + scope rules (seeker can only audio-chat with applied-to employer)

**Acceptance Criteria** (RTM: M8-AC3, M8-AC4)
- [ ] Sending AUDIO message with valid audio + duration ≤60s works end-to-end
- [ ] >60s rejected
- [ ] Bad MIME rejected
- [ ] IMAGE type not accepted via this endpoint
- [ ] SYSTEM type not user-submittable

**Dependencies**
- S2-BE-APPLY-AUDIO (storage abstraction lands first)

**Definition of Done**
- Standard DoD applies
- Negative tests for boundaries + MIME types

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m8-chat--messaging

**Risk:** H — chained on M5 storage work (R13)",To Do,Highest,2,M8,"sprint-2,owner-asrar,role-be,risk-high",,M8 Chat / Messaging,syed.asrar9@azkashine.com,37
Story,S2-BE-CHAT-POLLING BE — finalize polling + read receipts,"**Context**
Most polling logic exists in BE but needs verification + read-receipt + lastSeenAt surface polish.

**Scope**
- Verify GET /api/conversations/:id/messages?after=<lastMessageId> returns only strictly newer
- PATCH /api/messages/:id/read updates per-message readBy array
- Conversation-level unread counts derive from messages where userId NOT IN readBy
- lastSeenAt fire-and-forget on every authenticated request
- GET /api/conversations returns otherPartyLastSeenAt enrichment

**Acceptance Criteria** (RTM: M8-AC2, M8-AC5, M8-AC6)
- [ ] Polling returns strictly newer messages
- [ ] Mark-read updates readBy correctly
- [ ] Conversation unread count accurate (test with multi-user)
- [ ] lastSeenAt updates on every API call
- [ ] Conversation list shows other party's lastSeenAt

**Dependencies**
- None (existing infra)

**Definition of Done**
- Standard DoD applies
- End-to-end test with 2 users (seeker + employer) exchanging messages

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m8-chat--messaging

**Risk:** L — mostly existing infra",To Do,High,2,M8,"sprint-2,owner-asrar,role-be,risk-low",,M8 Chat / Messaging,syed.asrar9@azkashine.com,37
Story,S2-BE-RECO-Q9 BE — recommendation Q9 weight tweaks,"**Context**
Recommendation algo exists (T2 #13) but uses old weights. Q9 revised weights need to land. Add recency boost + exponential location decay + cold-start fallback.

**Scope**
- Update services/job.service.ts:761 scoring:
  - sector match: +20 (was 10)
  - title-exact: +30
  - title-fuzzy: +15
  - experience-token overlap: up to +15
  - skills overlap: up to +20 (Q53)
  - location proximity: up to +20 with exp decay beyond 10km (score *= exp(-(distance_km - 10) / 15), clipped at 0)
  - recency boost: <24h +10, <7days +5, else 0
- Cold-start: if seeker has neither preferredSector nor preferredJobTitle, return city jobs sorted by createdAt desc

**Acceptance Criteria** (RTM: M4-AC1, M4-AC3)
- [ ] Recommendation feed uses Q9 weights
- [ ] Cold-start returns city jobs by createdAt for empty profiles
- [ ] Existing filters preserved (ACTIVE-only, exclude applied, exclude soft-deleted employers)
- [ ] Snapshot test: known input profile + jobs → expected ordering

**Dependencies**
- None (standalone algo work)

**Definition of Done**
- Standard DoD applies
- Test cases for each weight component
- Snapshot test for cold-start

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m4-job-discovery

**Risk:** M — algo changes; verify with test fixtures",To Do,High,2,M4,"sprint-2,owner-asrar,role-be,risk-medium",,M4 Job Discovery,syed.asrar9@azkashine.com,37
